T09;Public expenditure on education (as of 2021);;;
500;Montserrat;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);31.8
500;Montserrat;2019;All staff compensation as % of total expenditure in public institutions (%);55.5
500;Montserrat;2019;Capital expenditure as % of total expenditure in public institutions (%);12.7
500;Montserrat;2019;Basic access to computers by level of education: Primary;100.0
500;Montserrat;2019;Basic access to computers by level of education: Lower secondary;100
500;Montserrat;2019;Basic access to computers by level of education: Upper secondary;100
500;Montserrat;2019;Public expenditure on education (% of GDP);9.0
500;Montserrat;2021;Public expenditure on education (% of GDP);5.1
504;Morocco;2009;Public expenditure on education (% of GDP);5.3
504;Morocco;2015;Basic access to computers by level of education: Primary;84.6
504;Morocco;2021;Basic access to computers by level of education: Primary;77.1
504;Morocco;2021;Basic access to computers by level of education: Lower secondary;87
504;Morocco;2021;Basic access to computers by level of education: Upper secondary;91
508;Mozambique;2005;Capital expenditure as % of total expenditure in public institutions (%);22.6
508;Mozambique;2005;Public expenditure on education (% of GDP);4.0
508;Mozambique;2006;Capital expenditure as % of total expenditure in public institutions (%);26.8
508;Mozambique;2006;Public expenditure on education (% of GDP);3.9
508;Mozambique;2010;Public expenditure on education (% of GDP);5.4
508;Mozambique;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);22.2
508;Mozambique;2013;All staff compensation as % of total expenditure in public institutions (%);58.5
508;Mozambique;2013;Capital expenditure as % of total expenditure in public institutions (%);19.3
508;Mozambique;2013;Public expenditure on education (% of GDP);6.1
508;Mozambique;2015;Public expenditure on education (% of GDP);6.0
508;Mozambique;2021;Public expenditure on education (% of GDP);6.9
104;Myanmar;2011;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);9.3
104;Myanmar;2011;All staff compensation as % of total expenditure in public institutions (%);77.2
104;Myanmar;2011;Capital expenditure as % of total expenditure in public institutions (%);13.4
104;Myanmar;2011;Public expenditure on education (% of GDP);0.9
104;Myanmar;2012;Basic access to computers by level of education: Primary;0.6
104;Myanmar;2012;Public expenditure on education (% of GDP);1.6
104;Myanmar;2015;Public expenditure on education (% of GDP);2.2
104;Myanmar;2018;Basic access to computers by level of education: Primary;0.5
104;Myanmar;2018;Basic access to computers by level of education: Lower secondary;3
104;Myanmar;2018;Basic access to computers by level of education: Upper secondary;25
104;Myanmar;2018;Public expenditure on education (% of GDP);2.2
104;Myanmar;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.0
104;Myanmar;2019;All staff compensation as % of total expenditure in public institutions (%);56.6
104;Myanmar;2019;Capital expenditure as % of total expenditure in public institutions (%);25.4
104;Myanmar;2019;Public expenditure on education (% of GDP);2.1
516;Namibia;2003;Public expenditure on education (% of GDP);6.1
516;Namibia;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);22.1
516;Namibia;2010;All staff compensation as % of total expenditure in public institutions (%);77.0
516;Namibia;2010;Capital expenditure as % of total expenditure in public institutions (%);0.8
516;Namibia;2010;Public expenditure on education (% of GDP);8.2
516;Namibia;2014;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);3.5
516;Namibia;2014;All staff compensation as % of total expenditure in public institutions (%);89.1
516;Namibia;2014;Capital expenditure as % of total expenditure in public institutions (%);7.4
516;Namibia;2014;Public expenditure on education (% of GDP);9.0
516;Namibia;2015;Public expenditure on education (% of GDP);9.5
516;Namibia;2022;Public expenditure on education (% of GDP);9.5
520;Nauru;2007;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.8
520;Nauru;2007;All staff compensation as % of total expenditure in public institutions (%);56.9
520;Nauru;2007;Public expenditure on education (% of GDP);4.2
520;Nauru;2015;Public expenditure on education (% of GDP);6.4
520;Nauru;2020;Basic access to computers by level of education: Primary;100.0
520;Nauru;2020;Basic access to computers by level of education: Lower secondary;100
520;Nauru;2020;Basic access to computers by level of education: Upper secondary;100
520;Nauru;2020;Public expenditure on education (% of GDP);6.8
520;Nauru;2022;Public expenditure on education (% of GDP);9.5
524;Nepal;2005;Public expenditure on education (% of GDP);3.4
524;Nepal;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.0
524;Nepal;2010;All staff compensation as % of total expenditure in public institutions (%);69.2
524;Nepal;2010;Capital expenditure as % of total expenditure in public institutions (%);12.8
524;Nepal;2010;Public expenditure on education (% of GDP);3.6
524;Nepal;2011;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);22.7
524;Nepal;2011;All staff compensation as % of total expenditure in public institutions (%);63.4
524;Nepal;2011;Capital expenditure as % of total expenditure in public institutions (%);13.9
524;Nepal;2011;Basic access to computers by level of education: Primary;0.3
524;Nepal;2011;Basic access to computers by level of education: Lower secondary;1
524;Nepal;2011;Basic access to computers by level of education: Upper secondary;8
524;Nepal;2011;Public expenditure on education (% of GDP);3.8
524;Nepal;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);24.9
524;Nepal;2015;All staff compensation as % of total expenditure in public institutions (%);64.1
524;Nepal;2015;Capital expenditure as % of total expenditure in public institutions (%);11.0
524;Nepal;2015;Public expenditure on education (% of GDP);3.3
524;Nepal;2021;Basic access to computers by level of education: Upper secondary;57
524;Nepal;2021;Public expenditure on education (% of GDP);4.0
524;Nepal;2022;Basic access to computers by level of education: Primary;12.1
524;Nepal;2022;Basic access to computers by level of education: Lower secondary;22
524;Nepal;2022;Basic access to computers by level of education: Upper secondary;77
528;Netherlands (Kingdom of the);2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);17.5
528;Netherlands (Kingdom of the);2005;All staff compensation as % of total expenditure in public institutions (%);69.8
528;Netherlands (Kingdom of the);2005;Capital expenditure as % of total expenditure in public institutions (%);12.7
528;Netherlands (Kingdom of the);2005;Basic access to computers by level of education: Primary;100.0
528;Netherlands (Kingdom of the);2005;Basic access to computers by level of education: Lower secondary;100
528;Netherlands (Kingdom of the);2005;Basic access to computers by level of education: Upper secondary;100
528;Netherlands (Kingdom of the);2005;Public expenditure on education (% of GDP);5.1
528;Netherlands (Kingdom of the);2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.5
528;Netherlands (Kingdom of the);2010;All staff compensation as % of total expenditure in public institutions (%);69.6
528;Netherlands (Kingdom of the);2010;Capital expenditure as % of total expenditure in public institutions (%);11.9
528;Netherlands (Kingdom of the);2010;Basic access to computers by level of education: Primary;100.0
528;Netherlands (Kingdom of the);2010;Basic access to computers by level of education: Lower secondary;100
528;Netherlands (Kingdom of the);2010;Basic access to computers by level of education: Upper secondary;100
528;Netherlands (Kingdom of the);2010;Public expenditure on education (% of GDP);5.5
528;Netherlands (Kingdom of the);2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.8
528;Netherlands (Kingdom of the);2015;All staff compensation as % of total expenditure in public institutions (%);67.8
528;Netherlands (Kingdom of the);2015;Capital expenditure as % of total expenditure in public institutions (%);11.4
528;Netherlands (Kingdom of the);2015;Basic access to computers by level of education: Primary;100.0
528;Netherlands (Kingdom of the);2015;Basic access to computers by level of education: Lower secondary;100
