SYB66_329_202310_Labour Force and Unemployment;;;;;
T17;Labour force participation and unemployment;;;;
484;Mexico;2005;Labour force participation - Male;80.8;
484;Mexico;2005;Unemployment rate - Male;3.4;
484;Mexico;2005;Labour force participation - Female;41.2;
484;Mexico;2005;Unemployment rate - Female;3.9;
484;Mexico;2010;Labour force participation - Total;60.5;
484;Mexico;2010;Unemployment rate - Total;5.3;
484;Mexico;2010;Labour force participation - Male;79.4;
484;Mexico;2010;Unemployment rate - Male;5.4;
484;Mexico;2010;Labour force participation - Female;42.9;
484;Mexico;2010;Unemployment rate - Female;5.2;
484;Mexico;2015;Labour force participation - Total;60.6;
484;Mexico;2015;Unemployment rate - Total;4.3;
484;Mexico;2015;Labour force participation - Male;78.7;
484;Mexico;2015;Unemployment rate - Male;4.2;
484;Mexico;2015;Labour force participation - Female;43.7;
484;Mexico;2015;Unemployment rate - Female;4.4;
484;Mexico;2023;Labour force participation - Total;61.1;
484;Mexico;2023;Unemployment rate - Total;3.4;
484;Mexico;2023;Labour force participation - Male;77.6;
484;Mexico;2023;Unemployment rate - Male;3.3;
484;Mexico;2023;Labour force participation - Female;45.8;
484;Mexico;2023;Unemployment rate - Female;3.4;
492;Monaco;2000;Labour force participation - Total;45.7;
492;Monaco;2000;Unemployment rate - Total;3.6;
492;Monaco;2000;Labour force participation - Male;57.3;
492;Monaco;2000;Unemployment rate - Male;2.5;
492;Monaco;2000;Labour force participation - Female;35.1;
492;Monaco;2000;Unemployment rate - Female;5.2;
496;Mongolia;2005;Labour force participation - Total;60.1;
496;Mongolia;2005;Unemployment rate - Total;7.0;
496;Mongolia;2005;Labour force participation - Male;64.4;
496;Mongolia;2005;Unemployment rate - Male;7.2;
496;Mongolia;2005;Labour force participation - Female;55.8;
496;Mongolia;2005;Unemployment rate - Female;6.8;
496;Mongolia;2010;Labour force participation - Total;59.4;
496;Mongolia;2010;Unemployment rate - Total;6.6;
496;Mongolia;2010;Labour force participation - Male;64.7;
496;Mongolia;2010;Unemployment rate - Male;7.1;
496;Mongolia;2010;Labour force participation - Female;54.2;
496;Mongolia;2010;Unemployment rate - Female;5.9;
496;Mongolia;2015;Labour force participation - Total;59.8;
496;Mongolia;2015;Unemployment rate - Total;4.9;
496;Mongolia;2015;Labour force participation - Male;66.0;
496;Mongolia;2015;Unemployment rate - Male;5.4;
496;Mongolia;2015;Labour force participation - Female;53.9;
496;Mongolia;2015;Unemployment rate - Female;4.2;
496;Mongolia;2023;Labour force participation - Total;60.2;
496;Mongolia;2023;Unemployment rate - Total;8.9;
496;Mongolia;2023;Labour force participation - Male;67.7;
496;Mongolia;2023;Unemployment rate - Male;9.3;
496;Mongolia;2023;Labour force participation - Female;53.1;
496;Mongolia;2023;Unemployment rate - Female;8.5;
499;Montenegro;2005;Labour force participation - Total;49.3;
499;Montenegro;2005;Unemployment rate - Total;30.3;
499;Montenegro;2005;Labour force participation - Male;56.5;
499;Montenegro;2005;Unemployment rate - Male;26.1;
499;Montenegro;2005;Labour force participation - Female;42.6;
499;Montenegro;2005;Unemployment rate - Female;35.4;
499;Montenegro;2010;Labour force participation - Total;48.8;
499;Montenegro;2010;Unemployment rate - Total;19.7;
499;Montenegro;2010;Labour force participation - Male;55.9;
499;Montenegro;2010;Unemployment rate - Male;18.8;
499;Montenegro;2010;Labour force participation - Female;42.2;
499;Montenegro;2010;Unemployment rate - Female;20.7;
499;Montenegro;2015;Labour force participation - Total;53.7;
499;Montenegro;2015;Unemployment rate - Total;17.6;
499;Montenegro;2015;Labour force participation - Male;60.2;
499;Montenegro;2015;Unemployment rate - Male;17.8;
499;Montenegro;2015;Labour force participation - Female;47.7;
499;Montenegro;2015;Unemployment rate - Female;17.3;
499;Montenegro;2023;Labour force participation - Total;57.0;
499;Montenegro;2023;Unemployment rate - Total;16.1;
499;Montenegro;2023;Labour force participation - Male;64.5;
499;Montenegro;2023;Unemployment rate - Male;15.5;
499;Montenegro;2023;Labour force participation - Female;50.1;
499;Montenegro;2023;Unemployment rate - Female;16.9;
500;Montserrat;2001;Labour force participation - Total;85.2;
500;Montserrat;2001;Unemployment rate - Total;9.5;
500;Montserrat;2001;Labour force participation - Male;89.2;
500;Montserrat;2001;Labour force participation - Female;80.6;
500;Montserrat;2011;Unemployment rate - Total;5.6;
500;Montserrat;2011;Unemployment rate - Male;7.7;
500;Montserrat;2011;Unemployment rate - Female;3.3;
504;Morocco;2005;Labour force participation - Total;50.6;
504;Morocco;2005;Unemployment rate - Total;11.0;
504;Morocco;2005;Labour force participation - Male;76.2;
504;Morocco;2005;Unemployment rate - Male;10.8;
504;Morocco;2005;Labour force participation - Female;25.6;
504;Morocco;2005;Unemployment rate - Female;11.6;
504;Morocco;2010;Labour force participation - Total;49.6;
504;Morocco;2010;Unemployment rate - Total;9.1;
504;Morocco;2010;Labour force participation - Male;73.9;
504;Morocco;2010;Unemployment rate - Male;9.0;
504;Morocco;2010;Labour force participation - Female;25.6;
504;Morocco;2010;Unemployment rate - Female;9.5;
504;Morocco;2015;Labour force participation - Total;47.5;
504;Morocco;2015;Unemployment rate - Total;9.5;
504;Morocco;2015;Labour force participation - Male;70.6;
504;Morocco;2015;Unemployment rate - Male;9.1;
504;Morocco;2015;Labour force participation - Female;24.4;
504;Morocco;2015;Unemployment rate - Female;10.4;
504;Morocco;2023;Labour force participation - Total;45.4;
504;Morocco;2023;Unemployment rate - Total;10.5;
504;Morocco;2023;Labour force participation - Male;69.2;
504;Morocco;2023;Unemployment rate - Male;9.9;
504;Morocco;2023;Labour force participation - Female;21.6;
504;Morocco;2023;Unemployment rate - Female;12.3;
508;Mozambique;2005;Labour force participation - Total;81.9;
508;Mozambique;2005;Unemployment rate - Total;3.0;
508;Mozambique;2005;Labour force participation - Male;80.2;
508;Mozambique;2005;Unemployment rate - Male;3.7;
508;Mozambique;2005;Labour force participation - Female;83.4;
508;Mozambique;2005;Unemployment rate - Female;2.5;
508;Mozambique;2010;Labour force participation - Total;80.5;
508;Mozambique;2010;Unemployment rate - Total;3.2;
508;Mozambique;2010;Labour force participation - Male;80.1;
508;Mozambique;2010;Unemployment rate - Male;3.4;
508;Mozambique;2010;Labour force participation - Female;80.9;
508;Mozambique;2010;Unemployment rate - Female;3.1;
508;Mozambique;2015;Labour force participation - Total;79.1;
508;Mozambique;2015;Unemployment rate - Total;3.4;
508;Mozambique;2015;Labour force participation - Male;80.1;
508;Mozambique;2015;Unemployment rate - Male;3.2;
508;Mozambique;2015;Labour force participation - Female;78.1;
508;Mozambique;2015;Unemployment rate - Female;3.7;
508;Mozambique;2023;Labour force participation - Total;78.6;
508;Mozambique;2023;Unemployment rate - Total;3.9;
508;Mozambique;2023;Labour force participation - Male;78.8;
508;Mozambique;2023;Unemployment rate - Male;3.5;
508;Mozambique;2023;Labour force participation - Female;78.3;
508;Mozambique;2023;Unemployment rate - Female;4.2;
104;Myanmar;2005;Labour force participation - Total;68.9;
104;Myanmar;2005;Unemployment rate - Total;0.7;
104;Myanmar;2005;Labour force participation - Male;81.6;
104;Myanmar;2005;Unemployment rate - Male;0.6;
104;Myanmar;2005;Labour force participation - Female;56.4;
104;Myanmar;2005;Unemployment rate - Female;0.8;
104;Myanmar;2010;Labour force participation - Total;66.2;
104;Myanmar;2010;Unemployment rate - Total;0.7;
104;Myanmar;2010;Labour force participation - Male;80.1;
104;Myanmar;2010;Unemployment rate - Male;0.6;
104;Myanmar;2010;Labour force participation - Female;52.6;
104;Myanmar;2010;Unemployment rate - Female;0.8;
104;Myanmar;2015;Labour force participation - Total;64.7;
104;Myanmar;2015;Unemployment rate - Total;0.8;
104;Myanmar;2015;Labour force participation - Male;79.0;
104;Myanmar;2015;Unemployment rate - Male;0.7;
104;Myanmar;2015;Labour force participation - Female;50.8;
104;Myanmar;2015;Unemployment rate - Female;0.9;
104;Myanmar;2020;Labour force participation - Total;60.2;
104;Myanmar;2020;Unemployment rate - Total;1.5;
104;Myanmar;2020;Labour force participation - Male;76.0;
104;Myanmar;2020;Unemployment rate - Male;1.1;
104;Myanmar;2020;Labour force participation - Female;44.7;
104;Myanmar;2020;Unemployment rate - Female;2.2;
516;Namibia;2005;Labour force participation - Total;55.6;
516;Namibia;2005;Unemployment rate - Total;22.3;
516;Namibia;2005;Labour force participation - Male;62.0;
516;Namibia;2005;Unemployment rate - Male;19.8;
516;Namibia;2005;Labour force participation - Female;49.7;
516;Namibia;2005;Unemployment rate - Female;25.2;
516;Namibia;2010;Labour force participation - Total;57.0;
516;Namibia;2010;Unemployment rate - Total;22.1;
516;Namibia;2010;Labour force participation - Male;62.3;
516;Namibia;2010;Unemployment rate - Male;20.4;
516;Namibia;2010;Labour force participation - Female;52.1;
516;Namibia;2010;Unemployment rate - Female;24.0;
516;Namibia;2015;Labour force participation - Total;60.6;
516;Namibia;2015;Unemployment rate - Total;20.9;
516;Namibia;2015;Labour force participation - Male;65.4;
516;Namibia;2015;Unemployment rate - Male;19.2;
516;Namibia;2015;Labour force participation - Female;56.4;
516;Namibia;2015;Unemployment rate - Female;22.7;
516;Namibia;2023;Labour force participation - Total;59.0;
516;Namibia;2023;Unemployment rate - Total;20.6;
516;Namibia;2023;Labour force participation - Male;62.5;
516;Namibia;2023;Unemployment rate - Male;21.7;
516;Namibia;2023;Labour force participation - Female;55.8;
516;Namibia;2023;Unemployment rate - Female;19.5;
520;Nauru;2002;Labour force participation - Total;78.0;
520;Nauru;2002;Unemployment rate - Total;22.7;
520;Nauru;2002;Labour force participation - Male;86.8;
520;Nauru;2002;Unemployment rate - Male;17.1;
520;Nauru;2002;Labour force participation - Female;69.6;
520;Nauru;2002;Unemployment rate - Female;29.6;
520;Nauru;2011;Labour force participation - Total;64.0;
520;Nauru;2011;Unemployment rate - Total;23.0;
520;Nauru;2011;Labour force participation - Male;78.9;
520;Nauru;2011;Unemployment rate - Male;21.4;
520;Nauru;2011;Labour force participation - Female;49.3;
520;Nauru;2011;Unemployment rate - Female;25.5;
524;Nepal;2005;Labour force participation - Total;40.8;
524;Nepal;2005;Unemployment rate - Total;10.5;
524;Nepal;2005;Labour force participation - Male;60.1;
524;Nepal;2005;Unemployment rate - Male;9.8;
524;Nepal;2005;Labour force participation - Female;22.2;
524;Nepal;2005;Unemployment rate - Female;12.4;
524;Nepal;2010;Labour force participation - Total;40.2;
524;Nepal;2010;Unemployment rate - Total;10.5;
524;Nepal;2010;Labour force participation - Male;58.4;
524;Nepal;2010;Unemployment rate - Male;9.8;
524;Nepal;2010;Labour force participation - Female;23.6;
524;Nepal;2010;Unemployment rate - Female;12.2;
524;Nepal;2015;Labour force participation - Total;39.7;
524;Nepal;2015;Unemployment rate - Total;10.5;
524;Nepal;2015;Labour force participation - Male;55.3;
524;Nepal;2015;Unemployment rate - Male;9.7;
524;Nepal;2015;Labour force participation - Female;26.3;
524;Nepal;2015;Unemployment rate - Female;12.0;
524;Nepal;2023;Labour force participation - Total;40.2;
524;Nepal;2023;Unemployment rate - Total;11.0;
524;Nepal;2023;Labour force participation - Male;53.3;
524;Nepal;2023;Unemployment rate - Male;10.1;
524;Nepal;2023;Labour force participation - Female;28.8;
524;Nepal;2023;Unemployment rate - Female;12.5;
528;Netherlands (Kingdom of the);2005;Labour force participation - Total;63.4;
528;Netherlands (Kingdom of the);2005;Unemployment rate - Total;5.9;
528;Netherlands (Kingdom of the);2005;Labour force participation - Male;71.5;
528;Netherlands (Kingdom of the);2005;Unemployment rate - Male;5.0;
528;Netherlands (Kingdom of the);2005;Labour force participation - Female;55.6;
528;Netherlands (Kingdom of the);2005;Unemployment rate - Female;6.9;
528;Netherlands (Kingdom of the);2010;Labour force participation - Total;64.8;
528;Netherlands (Kingdom of the);2010;Unemployment rate - Total;5.0;
528;Netherlands (Kingdom of the);2010;Labour force participation - Male;71.2;
528;Netherlands (Kingdom of the);2010;Unemployment rate - Male;4.5;
528;Netherlands (Kingdom of the);2010;Labour force participation - Female;58.7;
528;Netherlands (Kingdom of the);2010;Unemployment rate - Female;5.5;
528;Netherlands (Kingdom of the);2015;Labour force participation - Total;64.4;
528;Netherlands (Kingdom of the);2015;Unemployment rate - Total;6.9;
528;Netherlands (Kingdom of the);2015;Labour force participation - Male;70.1;
528;Netherlands (Kingdom of the);2015;Unemployment rate - Male;6.5;
528;Netherlands (Kingdom of the);2015;Labour force participation - Female;58.8;
528;Netherlands (Kingdom of the);2015;Unemployment rate - Female;7.3;
528;Netherlands (Kingdom of the);2023;Labour force participation - Total;65.8;
528;Netherlands (Kingdom of the);2023;Unemployment rate - Total;3.8;
528;Netherlands (Kingdom of the);2023;Labour force participation - Male;70.9;
528;Netherlands (Kingdom of the);2023;Unemployment rate - Male;3.6;
528;Netherlands (Kingdom of the);2023;Labour force participation - Female;60.8;
528;Netherlands (Kingdom of the);2023;Unemployment rate - Female;4.0;
530;Netherlands Antilles [former];2009;Labour force participation - Total;56.3;
530;Netherlands Antilles [former];2009;Labour force participation - Male;61.1;
530;Netherlands Antilles [former];2009;Labour force participation - Female;52.6;
530;Netherlands Antilles [former];2011;Labour force participation - Total;57.9;
530;Netherlands Antilles [former];2011;Labour force participation - Male;62.2;
530;Netherlands Antilles [former];2011;Labour force participation - Female;54.5;
540;New Caledonia;2005;Labour force participation - Total;65.1;
540;New Caledonia;2005;Unemployment rate - Total;15.8;
540;New Caledonia;2005;Labour force participation - Male;71.3;
540;New Caledonia;2005;Unemployment rate - Male;13.6;
540;New Caledonia;2005;Labour force participation - Female;58.8;
540;New Caledonia;2005;Unemployment rate - Female;18.6;
540;New Caledonia;2010;Labour force participation - Total;64.3;
540;New Caledonia;2010;Unemployment rate - Total;13.7;
540;New Caledonia;2010;Labour force participation - Male;69.6;
540;New Caledonia;2010;Unemployment rate - Male;12.0;
540;New Caledonia;2010;Labour force participation - Female;58.9;
540;New Caledonia;2010;Unemployment rate - Female;15.8;
540;New Caledonia;2015;Labour force participation - Total;62.7;
540;New Caledonia;2015;Unemployment rate - Total;13.9;
540;New Caledonia;2015;Labour force participation - Male;67.7;
540;New Caledonia;2015;Unemployment rate - Male;13.1;
540;New Caledonia;2015;Labour force participation - Female;57.8;
540;New Caledonia;2015;Unemployment rate - Female;14.8;
540;New Caledonia;2023;Labour force participation - Total;56.6;
540;New Caledonia;2023;Unemployment rate - Total;12.3;
540;New Caledonia;2023;Labour force participation - Male;60.9;
540;New Caledonia;2023;Unemployment rate - Male;12.0;
540;New Caledonia;2023;Labour force participation - Female;52.3;
540;New Caledonia;2023;Unemployment rate - Female;12.8;
554;New Zealand;2005;Labour force participation - Total;67.7;
554;New Zealand;2005;Unemployment rate - Total;3.8;
554;New Zealand;2005;Labour force participation - Male;75.0;
554;New Zealand;2005;Unemployment rate - Male;3.5;
554;New Zealand;2005;Labour force participation - Female;60.8;
554;New Zealand;2005;Unemployment rate - Female;4.2;
554;New Zealand;2010;Labour force participation - Total;67.6;
554;New Zealand;2010;Unemployment rate - Total;6.6;
